24 Jun 2026,FT,Switzerland,2,0,Canada,1,1,FIFA World Cup 2026™,First Stage,BC Place Vancouver
24 Jun 2026,FT,Bosnia_and_Herzegovina,3,0,Qatar,1,0,FIFA World Cup 2026™,First Stage,Seattle Stadium
24 Jun 2026,FT,Colombia,1,0,Congo_DR,0,0,FIFA World Cup 2026™,First Stage,Guadalajara Stadium
23 Jun 2026,FT,Panama,0,0,Croatia,1,0,FIFA World Cup 2026™,First Stage,Toronto Stadium
23 Jun 2026,FT,England,0,0,Ghana,0,0,FIFA World Cup 2026™,First Stage,Boston Stadium
23 Jun 2026,FT,Portugal,5,0,Uzbekistan,0,0,FIFA World Cup 2026™,First Stage,Houston Stadium
23 Jun 2026,FT,Jordan,1,0,Algeria,2,0,FIFA World Cup 2026™,First Stage,San Francisco Bay Area Stadium
23 Jun 2026,FT,Norway,3,0,Senegal,2,0,FIFA World Cup 2026™,First Stage,New York/New Jersey Stadium
22 Jun 2026,FT,France,3,0,Iraq,0,0,FIFA World Cup 2026™,First Stage,Philadelphia Stadium
22 Jun 2026,FT,Argentina,2,0,Austria,0,0,FIFA World Cup 2026™,First Stage,Dallas Stadium
22 Jun 2026,FT,New_Zealand,1,0,Egypt,3,0,FIFA World Cup 2026™,First Stage,BC Place Vancouver
21 Jun 2026,FT,Uruguay,2,0,Cabo_Verde,2,0,FIFA World Cup 2026™,First Stage,Miami Stadium
21 Jun 2026,FT,Belgium,0,0,IR_Iran,0,0,FIFA World Cup 2026™,First Stage,Los Angeles Stadium
21 Jun 2026,FT,Spain,4,0,Saudi_Arabia,0,0,FIFA World Cup 2026™,First Stage,Atlanta Stadium
21 Jun 2026,FT,Tunisia,0,0,Japan,4,0,FIFA World Cup 2026™,First Stage,Monterrey Stadium
21 Jun 2026,FT,Ecuador,0,0,Curaçao,0,0,FIFA World Cup 2026™,First Stage,Kansas City Stadium
20 Jun 2026,FT,Germany,2,0,Côte_d_Ivoire,1,0,FIFA World Cup 2026™,First Stage,Toronto Stadium
20 Jun 2026,FT,Netherlands,5,0,Sweden,1,0,FIFA World Cup 2026™,First Stage,Houston Stadium
20 Jun 2026,FT,Türkiye,0,0,Paraguay,1,0,FIFA World Cup 2026™,First Stage,San Francisco Bay Area Stadium
20 Jun 2026,FT,Brazil,3,0,Haiti,0,0,FIFA World Cup 2026™,First Stage,Philadelphia Stadium
