21 Jun 2026,FT,Ecuador,0,Curaçao,0,FIFA World Cup 2026™,First Stage,Kansas City Stadium
20 Jun 2026,FT,Germany,2,Côte_d_Ivoire,1,FIFA World Cup 2026™,First Stage,Toronto Stadium
20 Jun 2026,FT,Netherlands,5,Sweden,1,FIFA World Cup 2026™,First Stage,Houston Stadium
20 Jun 2026,FT,Türkiye,0,Paraguay,1,FIFA World Cup 2026™,First Stage,San Francisco Bay Area Stadium
20 Jun 2026,FT,Brazil,3,Haiti,0,FIFA World Cup 2026™,First Stage,Philadelphia Stadium
19 Jun 2026,FT,Scotland,0,Morocco,1,FIFA World Cup 2026™,First Stage,Boston Stadium
19 Jun 2026,FT,USA,2,Australia,0,FIFA World Cup 2026™,First Stage,Seattle Stadium
19 Jun 2026,FT,Mexico,1,Korea_Republic,0,FIFA World Cup 2026™,First Stage,Guadalajara Stadium
18 Jun 2026,FT,Canada,6,Qatar,0,FIFA World Cup 2026™,First Stage,BC Place Vancouver
18 Jun 2026,FT,Switzerland,4,Bosnia_and_Herzegovina,1,FIFA World Cup 2026™,First Stage,Los Angeles Stadium
18 Jun 2026,FT,Czechia,1,South_Africa,1,FIFA World Cup 2026™,First Stage,Atlanta Stadium
18 Jun 2026,FT,Uzbekistan,1,Colombia,3,FIFA World Cup 2026™,First Stage,Mexico City Stadium
17 Jun 2026,FT,Ghana,1,Panama,0,FIFA World Cup 2026™,First Stage,Toronto Stadium
17 Jun 2026,FT,England,4,Croatia,2,FIFA World Cup 2026™,First Stage,Dallas Stadium
17 Jun 2026,FT,Portugal,1,Congo_DR,1,FIFA World Cup 2026™,First Stage,Houston Stadium
17 Jun 2026,FT,Austria,3,Jordan,1,FIFA World Cup 2026™,First Stage,San Francisco Bay Area Stadium
17 Jun 2026,FT,Argentina,3,Algeria,0,FIFA World Cup 2026™,First Stage,Kansas City Stadium
16 Jun 2026,FT,Iraq,1,Norway,4,FIFA World Cup 2026™,First Stage,Boston Stadium
16 Jun 2026,FT,France,3,Senegal,1,FIFA World Cup 2026™,First Stage,New York/New Jersey Stadium
16 Jun 2026,FT,IR_Iran,2,New_Zealand,2,FIFA World Cup 2026™,First Stage,Los Angeles Stadium
15 Jun 2026,FT,Saudi_Arabia,1,Uruguay,1,FIFA World Cup 2026™,First Stage,Miami Stadium
15 Jun 2026,FT,Belgium,1,Egypt,1,FIFA World Cup 2026™,First Stage,Seattle Stadium
15 Jun 2026,FT,Spain,0,Cabo_Verde,0,FIFA World Cup 2026™,First Stage,Atlanta Stadium
15 Jun 2026,FT,Sweden,5,Tunisia,1,FIFA World Cup 2026™,First Stage,Monterrey Stadium
14 Jun 2026,FT,Côte_d_Ivoire,1,Ecuador,0,FIFA World Cup 2026™,First Stage,Philadelphia Stadium
14 Jun 2026,FT,Netherlands,2,Japan,2,FIFA World Cup 2026™,First Stage,Dallas Stadium
14 Jun 2026,FT,Germany,7,Curaçao,1,FIFA World Cup 2026™,First Stage,Houston Stadium
14 Jun 2026,FT,Australia,2,Türkiye,0,FIFA World Cup 2026™,First Stage,BC Place Vancouver
14 Jun 2026,FT,Haiti,0,Scotland,1,FIFA World Cup 2026™,First Stage,Boston Stadium
13 Jun 2026,FT,Brazil,1,Morocco,1,FIFA World Cup 2026™,First Stage,New York/New Jersey Stadium
13 Jun 2026,FT,Qatar,1,Switzerland,1,FIFA World Cup 2026™,First Stage,San Francisco Bay Area Stadium
13 Jun 2026,FT,USA,4,Paraguay,1,FIFA World Cup 2026™,First Stage,Los Angeles Stadium
12 Jun 2026,FT,Canada,1,Bosnia_and_Herzegovina,1,FIFA World Cup 2026™,First Stage,Toronto Stadium
12 Jun 2026,FT,Korea_Republic,2,Czechia,1,FIFA World Cup 2026™,First Stage,Guadalajara Stadium
